pincode,city_tier
562149,Metro
562150,Metro
562151,Metro
562152,Metro
562153,Metro
562154,Metro
562156,Metro
562157,Metro
562158,Metro
562162,Metro
562163,Metro
562167,Metro
562300,Metro
563162,Metro
566668,Metro
569999,Metro
570034,Metro
570036,Metro
570038,Metro
570040,Metro
570045,Metro
570047,Metro
570051,Metro
570065,Metro
570066,Metro
570068,Metro
570070,Metro
570072,Metro
570075,Metro
570076,Metro
570078,Metro
570079,Metro
570085,Metro
570086,Metro
570087,Metro
570089,Metro
570092,Metro
570095,Metro
570100,Metro
571470,Metro
571485,Metro
572214,Metro
573127,Metro
575041,Metro
575068,Metro
575076,Metro
576100,Metro
577011,Metro
577013,Metro
577054,Metro
577058,Metro
577078,Metro
577458,Metro
580034,Metro
580035,Metro
580036,Metro
580037,Metro
580041,Metro
580046,Metro
580048,Metro
580050,Metro
580059,Metro
580060,Metro
580063,Metro
580068,Metro
580076,Metro
580078,Metro
580079,Metro
580080,Metro
580082,Metro
580085,Metro
580086,Metro
580091,Metro
580098,Metro
580100,Metro
580102,Metro
586160,Metro
590024,Metro
590027,Metro
590033,Metro
590037,Metro
590038,Metro
590064,Metro
590066,Metro
590071,Metro
590072,Metro
590076,Metro
590078,Metro
590079,Metro
590087,Metro
590093,Metro
590094,Metro
600001,Metro
600002,Metro
600003,Metro
600004,Metro
600005,Metro
600006,Metro
600007,Metro
600008,Metro
600009,Metro
600010,Metro
600011,Metro
600012,Metro
600013,Metro
600014,Metro
600015,Metro
600016,Metro
600017,Metro
600018,Metro
600019,Metro
600020,Metro
600021,Metro
600022,Metro
600023,Metro
600024,Metro
600025,Metro
600026,Metro
600027,Metro
600028,Metro
600029,Metro
600030,Metro
600031,Metro
600032,Metro
600033,Metro
600034,Metro
600035,Metro
600036,Metro
600037,Metro
600038,Metro
600039,Metro
600040,Metro
600041,Metro
600042,Metro
600043,Metro
600044,Metro
600045,Metro
600046,Metro
600047,Metro
600048,Metro
600049,Metro
600050,Metro
600051,Metro
600052,Metro
600053,Metro
600054,Metro
600055,Metro
600056,Metro
600057,Metro
600058,Metro
600059,Metro
600060,Metro
600061,Metro
600062,Metro
600063,Metro
600064,Metro
600065,Metro
600066,Metro
600067,Metro
600068,Metro
600069,Metro
600070,Metro
600071,Metro
600072,Metro
600073,Metro
600074,Metro
600075,Metro
600076,Metro
600077,Metro
600078,Metro
600079,Metro
600080,Metro
600081,Metro
600082,Metro
600083,Metro
600084,Metro
600085,Metro
600086,Metro
600087,Metro
600088,Metro
600089,Metro
600090,Metro
600091,Metro
600092,Metro
600093,Metro
600094,Metro
600095,Metro
600096,Metro
600097,Metro
600098,Metro
600099,Metro
600100,Metro
600101,Metro
600102,Metro
600103,Metro
600104,Metro
600105,Metro
600106,Metro
600107,Metro
600108,Metro
600109,Metro
600110,Metro
600111,Metro
600112,Metro
600113,Metro
600114,Metro
600115,Metro
600116,Metro
600117,Metro
600118,Metro
600119,Metro
600121,Metro
600122,Metro
600123,Metro
600124,Metro
600125,Metro
600127,Metro
600128,Metro
600129,Metro
600130,Metro
600133,Metro
600136,Metro
600140,Metro
600141,Metro
600170,Metro
600184,Metro
600215,Metro
600502,Metro
600601,Metro
600602,Metro
600702,Metro
601301,Metro
601302,Metro
602101,Metro
602103,Metro
602605,Metro
603002,Metro
603048,Metro
603103,Metro
603110,Metro
603112,Metro
603201,Metro
603202,Metro
603203,Metro
603204,Metro
603210,Metro
605603,Metro
605804,Metro
605806,Metro
607117,Metro
608103,Metro
608211,Metro
608802,Metro
608888,Metro
610210,Metro
620088,Metro
623702,Metro
623722,Metro
624405,Metro
624602,Metro
625223,Metro
631504,Metro
631505,Metro
631555,Metro
631556,Metro
631557,Metro
631558,Metro
631604,Metro
631607,Metro
636128,Metro
637022,Metro
638157,Metro
638209,Metro
638212,Metro
638215,Metro
638464,Metro
638709,Metro
638712,Metro
639051,Metro
639052,Metro
639137,Metro
639138,Metro
660000,Metro
660037,Metro
680043,Metro
700001,Metro
700002,Metro
700003,Metro
700004,Metro
700005,Metro
700006,Metro
700007,Metro
700008,Metro
700009,Metro
700010,Metro
700011,Metro
700012,Metro
700013,Metro
700014,Metro
700015,Metro
700016,Metro
700017,Metro
700018,Metro
700019,Metro
700020,Metro
700021,Metro
700022,Metro
700023,Metro
700024,Metro
700025,Metro
700026,Metro
700027,Metro
700028,Metro
700029,Metro
700030,Metro
700031,Metro
700032,Metro
700033,Metro
700034,Metro
700035,Metro
700036,Metro
700037,Metro
700038,Metro
700039,Metro
700040,Metro
700041,Metro
700042,Metro
700043,Metro
700044,Metro
700045,Metro
700046,Metro
700047,Metro
700048,Metro
700049,Metro
700050,Metro
700051,Metro
700052,Metro
700053,Metro
700054,Metro
700055,Metro
700056,Metro
700057,Metro
700058,Metro
700059,Metro
700060,Metro
700061,Metro
700062,Metro
700063,Metro
700064,Metro
700065,Metro
700066,Metro
700067,Metro
700068,Metro
700069,Metro
700070,Metro
700071,Metro
700072,Metro
700073,Metro
700074,Metro
700075,Metro
700076,Metro
700077,Metro
700078,Metro
700079,Metro
700080,Metro
700081,Metro
700082,Metro
700083,Metro
700084,Metro
700085,Metro
700086,Metro
700087,Metro
700088,Metro
700089,Metro
700090,Metro
700091,Metro
700092,Metro
700093,Metro
700094,Metro
700095,Metro
700096,Metro
700097,Metro
700098,Metro
700099,Metro
700100,Metro
700101,Metro
700102,Metro
700103,Metro
700104,Metro
700105,Metro
700106,Metro
700107,Metro
700108,Metro
700109,Metro
700110,Metro
700111,Metro
700112,Metro
700113,Metro
700114,Metro
700115,Metro
700116,Metro
700117,Metro
700118,Metro
700119,Metro
700120,Metro
700121,Metro
700122,Metro
700123,Metro
700124,Metro
700125,Metro
700126,Metro
700128,Metro
700129,Metro
700130,Metro
700131,Metro
700132,Metro
700133,Metro
700134,Metro
700135,Metro
700136,Metro
700137,Metro
700138,Metro
700139,Metro
700140,Metro
700141,Metro
700142,Metro
700143,Metro
700144,Metro
700145,Metro
700146,Metro
700147,Metro
700148,Metro
700149,Metro
700150,Metro
700151,Metro
700152,Metro
700153,Metro
700154,Metro
700155,Metro
700156,Metro
700157,Metro
700158,Metro
700159,Metro
701006,Metro
701101,Metro
701111,Metro
707481,Metro
711101,Metro
711102,Metro
711103,Metro
711104,Metro
711105,Metro
711106,Metro
711107,Metro
711108,Metro
711109,Metro
711110,Metro
711111,Metro
711112,Metro
711113,Metro
711114,Metro
711147,Metro
711152,Metro
711156,Metro
711191,Metro
711200,Metro
711201,Metro
711202,Metro
711203,Metro
711204,Metro
711205,Metro
711209,Metro
711223,Metro
711224,Metro
711225,Metro
711226,Metro
711227,Metro
711235,Metro
711239,Metro
711247,Metro
711280,Metro
711301,Metro
711302,Metro
711305,Metro
711306,Metro
711307,Metro
711309,Metro
711310,Metro
711311,Metro
711314,Metro
711317,Metro
711320,Metro
711321,Metro
711323,Metro
711324,Metro
711325,Metro
711326,Metro
711327,Metro
711328,Metro
711401,Metro
